Rua	Municipio
Rodovia Canção do Amor	Valença
Rua Monsenhor Paschoal Librelotto	Valença
Estrada Valença X Parapeuna	Valença
Rua Acácio de Oliveira Duboc	Valença
Rua Constantino Silvestre	Valença
Estrada Valença Pentagna	Valença
Rua Manoel G Souza	Valença
Estrada dos Machados	Valença
Rua Vinte e Nove de Setembro	Valença
Rua Isair Alves Sacramento	Valença
Avenida Duque Costa	Valença
Rua das Flores	Valença
Rua São Pedro	Valença
Rua Benjamim Ieldo	Valença
Rua Manoel Correa Duarte	Valença
Rua Benjamin Constant	Valença
Rua Juvenal Telles	Valença
Ponte do Desengano	Valença
Rua São José	Valença
Estrada Taboas Lacerda	Valença
Avenida Nilo Peçanha	Valença
Praça XI de Novembro	Valença
Rua dos Mineiros	Valença
Rua João Pereira	Valença
Praça Visconde do Rio Preto	Valença
Rua Silva Jardim	Valença
Padre Luna	Valença
Silva Jardim	Valença
Rua Doutor Figueiredo	Valença
Rua Castro Alves	Valença
Rua Visconde de Jaguari	Valença
Rua Comendador Leite	Valença
Rua Coronel Leite Pinto	Valença
Rua Vito Pentagna	Valença
Rua Ernesto Cunha	Valença
Rua Coronel Benjamin Guimarães	Valença
Rua Doutor Julio Xavier	Valença
Rua do Mandre Arcoverde	Valença
Rua Tabelião Sebastião Dantas Moreira	Valença
Rua Conde de Valença	Valença
Rua Rodrigues da Cruz	Valença
Rua Domingos Cosate	Valença
Travessa dos Mascates	Valença
Rua Dom José Costa Campos	Valença
Rua Ignácio Werneck	Valença
Rua Domingos Mariano	Valença
Rua José Fonseca	Valença
Rua Barão de Pontegipe	Valença
Rua Dom Renato de Pontes	Valença
Rua Benjamin Guimarães	Valença
Rua Coronel João Rufino	Valença
Rua Cabo Fleury 2	Valença
Rua Coronel Cardoso	Valença
Rua Doutor Oswaldo Terra	Valença
Rua Sargento Vitor Hugo	Valença
Rua Itamar Vieira	Valença
Rua Monsenhor Argemiro B Neves	Valença
Rua Rodolfo Pena Rodrigues	Valença
Rua Cleber Barreto Neves	Valença
Rua Luiz Pereira Graça	Valença
Rua Americo Silveira	Valença
Rua Getulio Vargas	Valença
Rua Santa Rita de Cássia	Valença
Rua João de Barros Carvalhaes	Valença
Rua Sebastião Vieira	Valença
Rua do Barroso	Valença
Rua Lourenço Januzzi	Valença
Rua Bernardo Viana	Valença
Rua Waldemar Christiano	Valença
Rua Visconde de Pimentel	Valença
Rua Doutor Luiz Carneiro de Mendonça	Valença
Travessa Fonseca	Valença
Rua Sabino Dantas	Valença
Rua Julio Furtado	Valença
Rodovia RJ-145	Valença
Estrada Valenca Rio das Flores	Valença
Rua A	Valença
Rua Ludovico Cosate	Valença
Rua José Justino de Azevedo	Valença
Rua José Nogueira de Oliveira	Valença
Rua Capitão Adilson Rosa	Valença
Rodovia RJ-137 Canção do Amor	Valença
Rua Zuma de Figueiredo	Valença
Rua Visconde de Ipiabas	Valença
Rua Nicolau Leoni	Valença
Rua Pina Leitão	Valença
Rua Quintino Boucaiuva	Valença
Rua Americo Pereira	Valença
Rua Frederico de Lavega	Valença
Rua Joaquim Manoel de Macedo	Valença
Rua Expedito Arlindo dos Santos	Valença
Rua 17 de Outubro	Valença
Rua Ruy Barbosa	Valença
Travessa Vista Alegre	Valença
Praça Doutor Paulo de Frontin	Valença
Rua Leon Mouffron	Valença
Rua Mario Castilho	Valença
Rua Comendador Antônio Jannuzzi	Valença
Rua Alcides de Souza	Valença
Rua Voluntário da Pátria	Valença
Travessa Barão de Souza Lima	Valença
Rua Bolivar Felix	Valença
Rua Almirante Rodrigues e Silva	Valença
Rua Allan Kardec	Valença
Rua Emanuel Jannuzi	Valença
Rua Jaime Brandão	Valença
Rua Humberto Pentagna	Valença
Rua Durval Curzio	Valença
Rua Adelino Marchiorio	Valença
Rua Helena Alesio Lopes	Valença
Rua André Ruggeri	Valença
Praça Mônica Quaglia Marcondes	Valença
Rua Oswaldo Fonseca	Valença
Praça Getulio Vargas	Valença
Travessa Carlos Frederico	Valença
Rua Alberto Leite	Valença
Rua Jerônimo Farina	Valença
Rua Antônio Rodrigues dos Santos	Valença
Travessa Coutinho Gouveia	Valença
Rua Cloves Consentino	Valença
Rua Vicente Ielpo	Valença
Rua Rafaela Alessio	Valença
Rua 27 de Novembro	Valença
Travessa Santa Luiza	Valença
Rua Tanguará	Valença
Rua Teofilo dos Santos	Valença
Rua Luiz Pinto	Valença
Travessa Carlos Gomes	Valença
Rua Miguel Lamarca	Valença
Rua Martin Luthero	Valença
Travessa Joaquim Soares	Valença
Rua Doutor Júlio Xavier	Valença
Rua Nelson Pentagna Nena	Valença
Rua Pedro Melo Ferreira	Valença
Rua Antônio Fernandes	Valença
Rua Alvaro de Carvalho	Valença
Rua Celso Moreira Fontes	Valença
Rua Vinte e Sete de Novembro	Valença
Rua Barão de Mauá	Valença
Rua Arnaldo Nunes	Valença
Rua José Rosendo	Valença
Rua Cristovão Giesta Júnior	Valença
Rua Francisco Medeiros	Valença
Rua dos Colibris	Valença
Rua dos Gaviões	Valença
Rua João de Paula Rangel	Valença
Rua José de Paula Toledo	Valença
Rua Edineia Graças Silva	Valença
Rua João Esteves	Valença
Rua João Alves	Valença
Rua Eloy José Alves	Valença
Rua Maria Rezende	Valença
Rua João Carvo	Valença
Rua Paula Rangel	Valença
Rua Maria Jovita de Jesus	Valença
Rua Procópio Bandeira	Valença
Rua Pedro Ponciano	Valença
Rua Jacob Parreira	Valença
Travessa São Sebastião	Valença
Rua Durval Passos de Mello	Valença
Rua Projetada A	Valença
Rua José G Oseffi	Valença
Rua Cláudio de Medeiros	Valença
Rua Osmar Pascoal da Silva	Valença
Rua João Antônio de Paiva	Valença
Rua Antônio Augusto de Siqueira	Valença
Rua Gioseffi	Valença
Rua David da Silva Santos	Valença
Rua Vinte e Sete de Janeiro	Valença
Travessa Vinte e Sete de Janeiro	Valença
Rua Floripes R Medeiros	Valença
Rua Francisco Borges Castanheiros	Valença
Rua Lélio Ramos	Valença
Chaia Sheinferber	Valença
Rua Comandante Upiani	Valença
Rua Francisco de P Rodrigues	Valença
Rua Silvino Silva	Valença
Rua Luis Lipiane	Valença
Estrada para Sítio dos Guidas	Valença
Rua Mauro Goulart	Valença
Rua Nilo Graciosa	Valença
Rua Marieta Lopes	Valença
Rua Alberto Mouffron	Valença
Rua Nelio Ramos	Valença
Rua Alberto Moufron	Valença
Rua Antônio de Matos	Valença
Rua Herval Frank	Valença
Rua Monsenhor Tomás	Valença
Rua Pedro Alves	Valença
Rua Luiza Kirk lelpo	Valença
Rua Felipe Tabet	Valença
Rua Adolfo Sucena	Valença
Avenida Presidente Kennedy	Valença
Rua Hildebrando Lopes	Valença
Rua Eugênio Romano	Valença
Rua C	Valença
Rua Gervasio Gomes de Azevendo	Valença
Estrada da Passagem	Valença
Travessa Maria Carvalho de Jesus	Valença
Rua Pio Tozato	Valença
Rua Maria Romana	Valença
Rua Antônio Stivanin	Valença
Rua José de Albuquerque	Valença
Rua Claro Tozato	Valença
Rua José Antônio Stivanin	Valença
Rua Lea Pentagna	Valença
Rua Araris	Valença
Rua Alzira Pentagna	Valença
Rua Padre José de Albuquerque	Valença
Rua Coroados	Valença
Estrada Figueira	Valença
Rua Nossa Senhora da Penha	Valença
Rua Licinio Figueira	Valença
Rua Bernardo Camilo da Silva	Valença
Rua Patrocinio Nazario	Valença
Rua Joaquim Venâncio de Deus	Valença
Rua José Antônio de Melo	Valença
Rua Sebastião Honório de Paula	Valença
Rua Antônio Rocha	Valença
Rua 3	Valença
Rua Dulce Gonçalves da Silva	Valença
Rua 2	Valença
Rua Camila Rezende Leite	Valença
Rua B	Valença
Rua Rogério M Almeida	Valença
Estrada da Serra da Gloria	Valença
Rua Maria Clara Furtado	Valença
Rua Afonso Carvalhães	Valença
Rua Eurico Lengruber 2	Valença
Rua David Alves dos Santos	Valença
Rua Santa Clara	Valença
Rua Ernesto Duboc	Valença
Rua Emerita Gomes	Valença
Rua Eurico Lengruber	Valença
Rua Francisco Soares de Oliveira	Valença
Rua Teodorico Palmeira	Valença
Rua Maria Fontes	Valença
Rua Felipe Jorge	Valença
Rua Cordovil José da Silva	Valença
Rua Moacir Cruz	Valença
Rua Valentina de Castro	Valença
Rua Brigida Machado	Valença
Rua Alvaro de Castro	Valença
Rua Francisco Silvestre	Valença
Rua Antônio Pedro da Rosa	Valença
Rua Coronel João Esteves	Valença
Travessa Francisca Rangel	Valença
Travessa Maria Caeser da Silva	Valença
Rua das Orquideas	Valença
Rua dos Ipês	Valença
Rua das Camélias	Valença
Rua das Azaléias	Valença
Rua das Acácias	Valença
Rua Soldado Luis Carlos	Valença
Rua Sargento Leite	Valença
Rua Vicente Teixeira	Valença
Rua Sargento Nicolau	Valença
Rua Sargento Mesquita	Valença
Rua Cabo Paciello	Valença
Rua Campo Velho	Valença
Travessa Três	Valença
Rua Panfilio Tavares	Valença
Rua Jacy Almada Amorim	Valença
Rua Azael Farina	Valença
Rua Joaquim Gabriel	Valença
Rua Doutor Oscar Eugenio Terra	Valença
Rua Carlos Belo Lisboa	Valença
Rua Manoel Queima	Valença
Rua Edson Giesta	Valença
Rua Sebastião Raimundo	Valença
Rua Vicente Baptista Cardoso	Valença
Rua Beneventura de Almeida	Valença
Rua Francisco Ielpo Capobianco	Valença
Rua Francisco Guarini	Valença
Rua Otto Esteves Costa	Valença
Rua João Machado Dias	Valença
Rua Jose Luis Lipiane	Valença
Rua América F. Machado	Valença
Rua Sheila César Miranda	Valença
Rua Caetano Pentagna	Valença
Rua João Serafim	Valença
Rua Francisco D Biasi	Valença
Rua dos Pintassilgos	Valença
Rua São Judas Tadeu	Valença
Rua Getúlio Vargas	Valença
Rua Theodorico Fonseca	Valença
Rua 15 de Agosto	Valença
Rua Antonia Aleixo	Valença
Estrada Nestor Ribeiro Ferreira	Valença
Rua Mario Ezequiel de Almeida	Valença
Rua D	Valença
Rua E	Valença
Rua Cecília Meirelis	Valença
Rua Olavo Bilaque	Valença
Travessa José dos Santos	Valença
Travessa Frondina da Siva Ribeiro	Valença
Travessa Sergio Lopes Avila	Valença
Travessa Arnaldo Gonçalves dos Reis	Valença
Travessa Sebastião José de Freitas	Valença
Rua Arnor Vieira	Valença
Travessa São Lázaro	Valença
Rua Cleber Neves	Valença
Rua Maria Leite	Valença
Travessa 21 de Abril	Valença
Travessa Antônio Esteves	Valença
Travessa Barão de Santa Fé	Valença
Rua Raquel da Silva	Valença
Estrada de Amparo	Valença
Rua Bendito Leite Pinto	Valença
Rua Tiradentes	Valença
Rua Jose Fagundes	Valença
Rua Professora Jovina Salles	Valença
Beco da Andreza	Valença
Rua Duque Costa	Valença
Rua Joaquim Martins Ferreira	Valença
Servidão Quininha Tancredo	Valença
Rua Padre Correa Lima	Valença
Rua Irineu Gouveia Maia	Valença
Rua João dos Santos Maia	Valença
Rua Ana Josefina de Jesus	Valença
Rua Robert Eduard Mac Gregor	Valença
Rua Marciano de Almeida Souza	Valença
Rua Antônio Flauzino da Fonseca	Valença
Rua Dorcino Costa de Oliveira	Valença
Estrada da Concórdia	Valença
Rua Doutor Hélio de Almeida Pinto	Valença
Rua Pai Sabino	Valença
Rua Adrisalio Guimarães	Valença
Rua Estevam Gomes de Sá	Valença
Rua Luiza Ramos Ferreira	Valença
Rua Ernestino Aguiar	Valença
Rua Joaquim Mendes	Valença
Rua Alvaro Monteiro	Valença
Rua Malaquias José dos Santos	Valença
Travessa Ramos	Valença
Rua Raphael Cortes	Valença
Rua Aryovaldo Salles	Valença
Avenida José da Cunha Vidal	Valença
Estrada Adalto Magalhães de Castro	Valença
Rua Bruno José de Moraes	Valença
Rua Azilma Soares de Souza	Valença
Rua G	Valença
Rua José Tabet	Valença
Rua Maria da Gloria Silva Santos	Valença
Rua Welton de Souza Simoes	Valença
Rua das Safiras	Valença
Rua dos Cristais	Valença
Rua das Ametistas	Valença
Rua dos Rubis	Valença
Rua dos Diamantes	Valença
Rua dos Topázios	Valença
Rua das Pérolas	Valença
Rua das Esmeraldas	Valença
Travessa Barão do Rio Bonito	Valença
Rua Antônio Elias	Valença
Rua Manoel Ribeiro	Valença
Rua Walter Balbino de Souza	Valença
Rua Monsenhor Salemo	Valença
Travessa Ildefonso Coutinho	Valença
Rua Marechal Castelo Branco	Valença
Rua Wantuir Duque de Moraes	Valença
Rua Professora Yone Leite Pinto Pentagna	Valença
Rua Radialista José Fernando	Valença
Rua São Paulo	Valença
Rua João Lopes Pontes	Valença
Rua Joaquim de Melo Antunes	Valença
Rua Aderly Vieira Santos	Valença
Rua Maria Nacarath	Valença
Rua Antônio Nacarate da Silva	Valença
Rua José Luis Machado	Valença
Rua F	Valença
Beco José Texeira Bastos	Valença
Rua Jovalino Francisco Ribeiro	Valença
Beco Jose Afonso Machado	Valença
Rua Celeste Alves Ferreira	Valença
Estrada da Fazenda Juréa	Valença
Rua José Joaquim P de Andrade	Valença
Rua Maria Rosa Nogueira	Valença
Rua Virginia Pereira	Valença
Rua José Luiz Pereira	Valença
Rua Olavo Monteiro de Carvalho	Valença
Estrada Padre Barreira	Valença
Rua Francisco Conceição	Valença
Rua das Quaresmeiras	Valença
Rua Ezio Ferreira	Valença
Travessa Joaquim da Rosa Garcia	Valença
Rua Barão de Alianca	Valença
Rua Maria Luiza Rosa dos Santos	Valença
Estrada dos Vasconcellos	Valença
Rua Eugenio Sousa Nunes	Valença
Rua Doutor Eugenio Souza Nunes	Valença
Rua Alfredo Machado	Valença
Travessa Maria de Almeida Teixeira	Valença
Travessa Doutor Oswaldo Terra	Valença
Travessa Padre Gomes Leal	Valença
Travessa Miguel Tomas	Valença
Travessa Rosa Perote da Silva	Valença
Travessa Dois	Valença
Rua Geraldo Pereira da Costa	Valença
Estrada da Cachoeira	Valença
Travessa Pedro Teixeira	Valença
Travessa da Passagem	Valença
Rua Adhemar José Teixeira	Valença
Rua Verissimo do Nascimento	Valença
Rua Pedro Soares Alves	Valença
Rua Rosalinda	Valença
Rua Carmem Rosa Myrra	Valença
Rua Sebastião Escrivani	Valença
Avenida Larivoir	Valença
Alameda Emilia Jannozzi	Valença
Vila Bandeira	Valença
Travessa Gumercino de Oliveira	Valença
Rua António Luiz dos Santos	Valença
Rua Professor Eurico Alves	Valença
Praça Simoes Correia	Valença
Rua Heliodoro Duboc	Valença
Travessa Garcia Junior	Valença
Travessa Ivan Lacerda Bernandes	Valença
Rua Sargento Edson Lira Ferraz	Valença
Acesso da Fazenda Vilarejo	Valença
Rua José Felício	Valença
Rua José Tomas	Valença
Rua José Cesar	Valença
Rua Vovo Norica	Valença
Rua Maria Conceição Braga	Valença
Rua Raphael Jannuzzi	Valença
Rua Luiz Damasceno	Valença
Rua Ary Coutinho	Valença
Ladeira Augusto Ferreira Ramos	Valença
Travessa Um	Valença
Rua Doutor Luiz Novaes	Valença
Travessa Angelina R. Lourenço	Valença
Acesso Sítio São Gerônimo Vale Verde	Valença
Rua 6	Valença
Rua Rocha	Valença
Rua Eduardo Pereira	Valença
Rua José Rodrigues Chaves	Valença
Praça Padre Gomes Leal	Valença
Rua Engenheiro Pedro Paulo	Valença
Rua 27 de Janeiro	Valença
Travessa Maria Rosario	Valença
Travessa Mitra	Valença
Rua Santa Cruz	Arraial do Cabo
Rua Vera Cruz	Arraial do Cabo
Rua Nilo Peçanha	Arraial do Cabo
Avenida Governador Leonel de Moura Brizola	Arraial do Cabo
Rua Dom Pedro Primeiro	Arraial do Cabo
Rua Martins Afonso	Arraial do Cabo
Avenida General Bruno Martins	Arraial do Cabo
Rodovia General Alfredo Bruno Gomes Martins	Arraial do Cabo
Rua da Restinga	Arraial do Cabo
Rua Doutor José Claudio Quintanilha	Arraial do Cabo
Avenida Pedro Francisco Sanches	Arraial do Cabo
Estrada da Figueira	Arraial do Cabo
Rua Projetada D	Arraial do Cabo
Rua Orquidaria	Arraial do Cabo
Rodovia General Bruno Martins	Arraial do Cabo
Rua Araci Machado	Arraial do Cabo
Rua da Liberdade	Arraial do Cabo
Rua paranatinga	Arraial do Cabo
Rua Hermes Barcelos	Arraial do Cabo
Rua das Flores	Arraial do Cabo
Alameda das Casuarinas	Arraial do Cabo
Rua Bahia	Arraial do Cabo
Rua 8	Arraial do Cabo
Rua 54	Arraial do Cabo
Rua Recanto do Sabiá	Arraial do Cabo
